Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-12-01 00:00:00-05:00,102.81288507077349,104.03353616394787,99.85998697387848,99.89588928222656,197000,0.0,0.0,0.0
2021-12-02 00:00:00-05:00,100.50619772104761,103.64757726630805,100.50619772104761,103.02827453613281,121300,0.0,0.0,0.0
2021-12-03 00:00:00-05:00,103.1629098601499,103.38729412078348,101.73582240173491,102.53462982177734,103500,0.0,0.0,0.0
2021-12-06 00:00:00-05:00,103.45012724290315,105.46060841361232,103.45012724290315,104.58999633789062,405100,0.0,0.0,0.0
2021-12-07 00:00:00-05:00,105.42469226613976,106.0888677103214,105.07465339368838,105.7298583984375,249400,0.0,0.0,0.0
2021-12-08 00:00:00-05:00,106.05296901324085,107.04025828604904,105.54136637936182,106.73509216308594,76800,0.0,0.0,0.0
2021-12-09 00:00:00-05:00,106.38507537856134,106.38507537856134,105.17340161740881,105.2362289428711,107500,0.0,0.0,0.0
2021-12-10 00:00:00-05:00,105.95423733261808,105.95423733261808,104.89514348124105,105.3528823852539,88300,0.0,0.0,0.0
2021-12-13 00:00:00-05:00,105.20929286035869,106.72613264828755,104.85027667504447,106.26838684082031,93400,0.0,0.0,0.0
2021-12-14 00:00:00-05:00,105.99911598053632,106.1516956237144,104.42842626535749,104.86821746826172,80500,0.0,0.0,0.0
2021-12-15 00:00:00-05:00,105.23620155630384,106.65431150216483,104.91308772439469,106.5017318725586,84500,0.0,0.0,0.0
2021-12-16 00:00:00-05:00,106.77100651841096,107.13899999534908,105.48752826454148,106.1247787475586,58000,0.0,0.0,0.0
2021-12-17 00:00:00-05:00,105.84652948500555,106.97742792406741,105.631122541072,105.94525909423828,493000,0.0,0.0,0.0
2021-12-20 00:00:00-05:00,105.08684776345822,105.2500122991055,103.72714560499847,104.96900939941406,320100,1.163,0.0,0.0
2021-12-21 00:00:00-05:00,105.8482709123045,107.03574875782127,105.8482709123045,106.52812194824219,88400,0.0,0.0,0.0
2021-12-22 00:00:00-05:00,106.75474508406128,107.57056775714553,106.64597333818523,107.47085571289062,95500,0.0,0.0,0.0
2021-12-23 00:00:00-05:00,107.89689801387378,108.0419362310418,106.72755332221722,107.28956604003906,224200,0.0,0.0,0.0
2021-12-27 00:00:00-05:00,107.38928019758431,109.03905191340363,107.12640361064898,109.00279235839844,302200,0.0,0.0,0.0
2021-12-28 00:00:00-05:00,109.08438001549942,109.49229485553155,108.77618414666955,109.3563232421875,207100,0.0,0.0,0.0
2021-12-29 00:00:00-05:00,109.74609557837287,110.48939916397835,108.95746582021224,110.25371551513672,107100,0.0,0.0,0.0
2021-12-30 00:00:00-05:00,110.29904174437877,111.12392414204395,110.29904174437877,110.54378509521484,152200,0.0,0.0,0.0
